,OBJECTID,Location,BureauID,Date_,TotalKille,CiviliansK,ChildrenKi,Summary,Latitude,Longitude,Killed,Year
319,320,Miranshah,Ob268,2012-04-29,3-6,0,0,3-6 alleged militants killed and up to 3 injured on a strike on an ex-girl's school in Miranshah.,33.0020413985,70.0608444214,3,2012
320,321,Shawal,Ob269,2012-05-05,8-10,0,0,Up to 10 killed and one injured in a strike. Disputes on wether the dead were militants or civilians.,33.0187396433,69.6588134766,8,2012
321,322,Datta Khel Kalai,Ob270,2012-05-23,4-5,0,0,4-5 alleged militants killed and several injured in a strike on a house in Datte Khel Kalai.,33.1772151478,70.4367828369,4,2012
322,323,Khassokhel near Mir Ali,Ob271,2012-05-24,10-12,0,0,"Up tp 12 killed and 3 injured, mostly civilians, after a strike hit a house and a nearby mosque during morning prayers.",32.9620103266,70.333442688,10,2012
323,324,Miranshah,Ob272,2012-05-26,3-4,0,0,3-4 alleged militants killed and 2 injured on a strike on bakery in Miransha bazaar.,33.0020413985,70.0608444214,3,2012
324,325,Khassokhel near Mir Ali,Ob273,2012-05-28,5-10,0,0,Up to 10 alleged militants killed and 4 injured in a double strike on a house in the village of Khassokhel.,32.9620103266,70.333442688,5,2012
325,326,Mir Ali,Ob274,2012-05-28,2-4,0,0,2-4 alleged militants killed in a strike on a vehicle in Datta Khel.,32.9582654853,70.2410888672,2,2012
326,327,"Khawashi Khel, near Wana",Ob275,2012-06-02,2-4,0,0,"Up to 4 killed, 2 alleged militants and possibly 2 civilians in a strike in a vehicle in Khawashi Khel.",32.9620103266,70.333442688,2,2012
327,328,"Mana Raghzai, near Wana",Ob276,2012-06-03,8-10,0,0,Up to 10 killed and 7-10 injured in a strike on a house where a Taliban funeral took place. Possible civilian deaths.,32.9887957151,70.287437439,8,2012
328,329,"Hesokhel, near Mir Ali",Ob277,2012-06-04,1-18,0,0,"Up to 18 alleged militants killed in a strike on a militant compound. Abu Yahya al-Libi, al Qaeda's effective number two, is believed to be amongst dead.",32.9846200333,70.3761863708,1,2012
329,330,"Isha, near Miranshah",Ob278,2012-06-13,4,0,0,4 alleged militants killed in a strike on a vehicle traveling east from Miranshah.,32.9876438226,69.6261978149,4,2012
330,331,Miranshah,Ob279,2012-06-14,3-4,0,0,Up to 4 alleged militants killed in a strike on a shop or house in Miranshah bazaar. AFP reports witness saying another instance of a follow-up strike.,33.0020413985,70.0608444214,3,2012
331,332,Shawal,Ob280,2012-06-26,4-6,0,0,At least 4 alleged militants killed when a CIA drone struck a house in the late evening. The strike was reportedly targeting alleged militants linked to Hafiz Gul Bahadur.,33.0187396433,69.6588134766,4,2012
332,333,Dre Nishter/Shawal,Ob281,2012-07-01,6-8,0,0,"CIA drones struck a house killing up to eight people. The strike came around 7am, reportedly destroying the house.",32.8210374676,69.9799919128,6,2012
333,334,Datta Khel,Ob282,2012-07-06,17-24,0,0,"In an evening strike, CIA drones struck a house killing at least 17. This was the first strike since Pakistan re-opened its borders to Nato convoys after a seven month diplomatic stand-off.",33.1772151478,70.4367828369,17,2012
334,335,Dre Nishter/Shawal,Ob283,2012-07-23,11-14,0,0,"At least 9 were killed when up to 8 missile hit a compound alleged to belong to militant comander Sadiq Noor, ally of Hafiz Gul Bahadur.",32.8210374676,69.9799919128,11,2012
335,336,Kushhali Turkhel,Ob284,2012-07-29,4-7,0,0,Up to 7 alleged militants died when CIA drones fired 6 missiles at a house. 1 or 2 vehicles exploded. The attack took place hours after Pakistan ambassador to Washington again called for a halt to drone strikes.,32.9387751,70.2482734,4,2012
336,337,"Mammon Narai, Shuweda",Ob285,2012-08-18,5-12,1,0,"At least 5 people killed as tribesmen gathered for Eid, declared early in Waziristan. One named militant was killed, and his wife. A house and car were hit in the attack.",32.9887957151,70.287437439,5,2012
337,338,"Mana, Shawal",Ob286,2012-08-19,4-7,0,0,"Two vehicles were hit in an early morning strike, killing at least 4. The vehicles were reportedly traveling from Miranshah.",32.9887957151,70.287437439,4,2012
338,339,"Mana, Shawal",Ob287,2012-08-19,2-3,0,0,"A further 2 people were killed when CIA drones returned, reportedly targeting the wreckage of the vehicles destroyed in the day's earlier strike (Ob286).",32.9887957151,70.287437439,2,2012
339,340,"Shnakhura, Datta Khel",Ob288,2012-08-21,5-25,1,1,"Badruddin Haqqani, son of the Haqqani leader and the network's senior military commander, may have been killed when up to 25 people died in a 7pm strike. Haqqani's son Osama may also have perished when drones hit a car and vehicle.",32.9905235257,70.3046035767,5,2012
340,341,"Makai/Maki Ghar, Shawal",Ob289,2012-08-24,13-18,0,0,Up to 18 people were killed and up to 14 injured in a coordinated series of strikes that hit villages in the Shawal valley around noon. The strikes came 'minutes apart'.,32.9962826501,69.6561527252,13,2012
341,342,"Dara, Shawal",Ob290,2012-08-24,0,0,0,In a second strike of the midday onslaught at least 4 were killed when CIA drones reportedly fired two missiles on a wall compound.,33.1093731453,70.067024231,0,2012
342,343,"Dre Nishter, Shawal",Ob291,2012-08-24,0,0,0,In the third coordinated strike at least three people were killed.,32.8210374676,69.9799919128,0,2012
343,344,Degan,Ob292,2012-09-01,4-6,0,0,Attacks at 9am on a housing compound and a vehicle reportedly killed up to six people.,32.9686354261,69.7020721436,4,2012
344,345,Mohammed Khel/Datta Khel,Ob293,2012-09-21,3-4,0,0,"A car was destroyed when to missiles and three to four militants, possibly linked to Hafiz Gul Bahdur, were killed. This was the first strike in 20 days, and the first after protests over a blasphemous video left up to 17 dead.",32.9971464863,69.7264480591,3,2012
345,346,Khaderkail/Mir Ali,Ob294,2012-09-24,5-8,0,0,"At least 5 were killed, inlcuding senior al Qaeda member Abu Kasha al Iraqi, when two missiles destroyed a compound at around 9pm.00",32.9785721438,70.2865791321,5,2012
346,347,Khadar Khel,Ob295,2012-10-01,2-4,0,0,"A US drone strike reportedy targeted either a car or motorbike near Mir Ali in North Waziristan, killing up to four alleged militants.",32.9709396921,70.400390625,2,2012
347,348,Hurmuz/Mir Ali,Ob296,2012-10-10,5,0,0,"A pre-dawn attack destroyed a compound belonging to Maulvi Abdullah, described as a local cleric, killing five alleged militants and injuring three more, according to reports.",32.9684554028,70.2527189255,5,2012
348,349,Buland Khel,Ob297,2012-10-11,16-26,0,0,"Four missiles were reportedly fired at a madrassa belonging to Maulvi Shakirullah, killing up to 18 and wounding many more.",33.0213304669,69.825668335,16,2012
349,350,Miranshah,Ob298,2012-10-24,1-5,1,0,A woman and at least two others were killed when a drone hit a house and car. Militants and civilians were in the house according to military officers who said two children were injured.,33.0020413985,70.0608444214,1,2012
350,351,"Tabbi, near Miranshah",Ob302,2012-12-09,3-4,0,0,"Up to 4 were killed, including an alleged militant commander Mohammad Ahmed Almansoor. A compound and a car were destroyed in the strike.",33.00175347,70.0141525269,3,2012
351,352,"Hassokhel, near Mir Ali",Ob303,2012-12-09,3-6,0,0,After a pause of 12 days an attack on a house killed at least 3. Foreigners - potentially Uzbeks - were reportedly among the dead.,32.9846200333,70.3761863708,3,2012
352,353,Babar Ghar,Ob307,2013-01-03,8-18,0,0,The New Year offensive continued with potentially the most bloody strike in the CIA drone campaign for 88 days.,32.65389,70.19083,8,2013
353,354,"Gurbaz, Shawal Valley area",Ob304,2012-12-21,4-5,0,0,CIA drones targeted a house in the Shawal valley killing at least 4. Their identity could not be confirmed. Reportedly the first drone strike to take place in cloudy weather.,33.0187396433,69.6588134766,4,2012
354,355,"Angor Adar, near Wana",Ob305,2013-12-29,6-11,0,0,"In one of their most significant recent strikes, CIA drones killed Maulvi Nazir, the powerful leader of a so-called â€˜good Talibanâ€™ faction, in a late evening attack.",32.4865968294,69.2832183838,6,2013
355,356,Mir Ali,Ob306,2013-01-02,3-6,0,0,A local TTP leader and reportedly two Uzbeks were killed in a possible 'double-tap' strike by CIA drones.,32.9582654853,70.2410888672,3,2013
356,357,"Haiderkhel, near Mir Ali",Ob308,2013-01-06,4-9,0,0,Alleged al Qaeda deputy commander of militant training in Pakistan and Afghanistan killed in the first of twin strikes near Mir Ali,32.9700755994,70.3107833862,4,2013
357,358,"Hassokhel, near Mir Ali",Ob309,2013-01-08,2-4,0,0,"At least 2 killed in second strike, 15 minutes after the first near Mir Ali.",32.953944,70.262883,2,2013
358,359,"Hassokhel, near Mir Ali",Ob310,2013-01-08,3-6,0,0,At least four killed in a strike on a motorcycle and house or compound.,32.953944,70.262883,3,2013
359,360,Babar Ghar,Ob312,2013-02-06,6-9,0,0,"CIA drones destroyed a house, killing at least 4, in an area reportedly dominated by the TTP.",32.65389,70.19083,6,2013
360,361,Babar Ghar,Ob312,2013-02-06,6-9,0,0,"CIA drones destroyed a house and killed at least 3. Between two and six missiles reportedly hit a building, which caught fire.",32.65389,70.19083,6,2013
361,362,Datta Khel,Ob313,2013-02-08,1-3,0,0,"Drones kill at least one alleged militant, reportedly on horseback in North Waziristan. The horse reportedly died with its rider.",33.1772151478,70.4367828369,1,2013
362,363,Datta Khel,Ob314,2013-03-10,1-4,0,0,"Either a house or vehicle was destroyed, killing at least three.",33.1772151478,70.4367828369,1,2013
